recno;ID_ROADKILL;SESION;DATE;TRANSECT;OBSERVER;P_V;METHODOLOGY;OBSERVED;SPECIE;GROUP;STATUS;latitude;longitude;precision;utm_n;utm_e;utm_zona;LOCATION;d1;d2;D_CONSENSUS
33;6;FEBRUARY;21/02/2023;CASTILBLANCO3;3;P;CYCLING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
34;6;FEBRUARY;21/02/2023;CASTILBLANCO3;6;V;CYCLING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
35;6;FEBRUARY;21/02/2023;CASTILBLANCO3;2;P;DRIVING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
36;6;FEBRUARY;21/02/2023;CASTILBLANCO3;5;V;DRIVING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
37;7;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;0;Cat;DOMESTIC;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;3
38;7;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;0;Cat;DOMESTIC;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;3
39;7;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Cat;DOMESTIC;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;3
40;7;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;1;Cat;DOMESTIC;6;37.566475;-5.435216;4;4160503;284925;30S;OUT;NA;NA;3
41;7;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Cat;DOMESTIC;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;3
42;7;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Cat;DOMESTIC;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;3
43;8;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Erinaceus europaeus;HEDGEHOG;6;37.544538;-5.469613;4;4158148;281822;30S;OUT;10;1;1
44;8;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;0;Erinaceus europaeus;HEDGEHOG;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
45;8;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Erinaceus europaeus;HEDGEHOG;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
46;8;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;1;Erinaceus europaeus;HEDGEHOG;6;37.54451;-5.46963;4;4158145;281821;30S;OUT;NA;NA;1
47;8;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Erinaceus europaeus;HEDGEHOG;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
